GeneID	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	Gene	Animal
J1742548	13.8354225868447	5.17498528323906	1.06101606703094	4.87738635072727	1.07500748559604e-06	3.01533911139437e-06	SCAM3	BOVIN
J1742927	157.926539345231	5.22187420652282	0.254156078003415	20.5459347954396	8.36846888182799e-94	7.98085821018851e-92	CLIP1	CHICK
J1744997	97.3251793473192	5.44562886914257	0.461378118487142	11.8029630165357	3.76805620227899e-32	6.03550983967288e-31	UBFD1	HUMAN
J1752352	52.7171126954991	5.94381113080532	0.319826064854637	18.5845113452739	4.28888444317846e-77	2.80909606647605e-75	SH3L3	RAT
J1755232	51.5588662293282	10.0170258477554	0.452486598122598	22.1377293588735	1.36964908163354e-108	1.77377338168598e-106	TBA8	BOVIN
J1755952	191.915430965011	5.04676054643992	0.5786356766422	8.72182748171712	2.73747194258857e-18	2.12952894155022e-17	NR4A3	HUMAN
J1757547	47.0995294318105	5.97001322848475	0.42463941035171	14.0590182704428	6.78205099130959e-45	1.73105585940559e-43	RN207	HUMAN
J1759464	36.4485229551634	5.37854206408789	0.707937353437175	7.59748307950415	3.0194568398733e-14	1.75478020783355e-13	GDE	RABIT
J1768153	16.4593090754075	6.79477101929031	1.61768466521475	4.20030625584763	2.66554179234591e-05	6.23967280198628e-05	ESF1	HUMAN
J1773145	26.5215051751534	-5.10078948338108	1.18704600327567	-4.29704448631764	1.73090467721323e-05	4.16385333063021e-05	HPGDS	CHICK
J1774764	51.573466526791	7.33893368364675	1.61438741348926	4.54595571194695	5.46865355761201e-06	1.40348682574731e-05	IVD	CAEEL
J1776334	20.094958276905	-5.97748487732035	1.09209133160379	-5.47342946907392	4.41408613022119e-08	1.4659808417038e-07	ODAD4	MOUSE
J1784377	26.9669343307821	5.72298217501372	1.65352304809627	3.46108400581576	0.000538004899432537	0.00104827711341818	PK3C3	HUMAN
J1786278	13.8193793664584	-5.37539895144107	0.759038265482891	-7.08185502086816	1.42237425318512e-12	7.23180378158564e-12	FCGBP	HUMAN
J1795816	17.3049232281687	-6.07818780542945	1.80861881037102	-3.36067930432648	0.000777510454335996	0.00147325594693494	RMP	HUMAN
J1796534	24.4512560416788	8.59206015742738	0.751689593636387	11.4303300593298	2.94985425679623e-30	4.32386032637662e-29	LARG1	CHICK
J1802232	295.877579135845	5.19229746084693	0.394021362067136	13.177705476695	1.17923041125682e-39	2.51668527750719e-38	FHOD1	HUMAN
J1802475	42.4147288183791	5.3338637739022	1.50413012393101	3.5461451699154	0.000390910794943172	0.000776473180752916	FAN1	AILME
J1804098	123.996633138773	-5.13993522004768	0.557228892062337	-9.22410035313222	2.85951185839415e-20	2.52427783843446e-19	SDC1	HUMAN
J1806533	88.9065572741272	10.8067773776806	0.629502548783466	17.1671701704228	4.67671187809466e-66	2.37938155887079e-64	DUS29	CHICK
J1808201	228.465093431587	5.77430426694268	1.43302112989898	4.02946205500107	5.59046385445104e-05	0.000125392090764124	YIPF3	CHICK
J1809790	18.1367274211314	6.77635979004558	0.640519947000858	10.579467230919	3.71062117789631e-26	4.5005587921471e-25	UB2D1	BOVIN
J1818603	93.6348410698973	5.17186519868255	0.401345947678617	12.8863022751235	5.37602983376789e-38	1.07771194372095e-36	MYPT2	MOUSE
J1820457	130.080379981896	11.0592797559585	0.565274027727629	19.5644576143296	3.10691554042014e-85	2.4419284797516e-83	ITM2A	HUMAN
NODE_10008_length_2512_cov_12.524826_g2956_i0	139.325495483141	5.13448487946912	0.244930036430308	20.9630674714331	1.42595076693853e-97	1.45747514936457e-95	S2512	PONAB
NODE_10201_length_3161_cov_79.291050_g4809_i3	45.0294836687353	-22.9516198013277	2.06052489518933	-11.1387248243942	8.12746959956326e-29	1.11798077599786e-27	BCLF1	HUMAN
