GeneID	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	Gene	Animal
J1744167	10.0795252517615	-6.00185982989171	0.897565761375196	-6.68681904788349	2.28073598648492e-11	9.15870601479048e-11	FRDA	BOVIN
J1744903	338.004539014247	-5.0315079189703	1.27274869236128	-3.95326111837173	7.70932268114246e-05	0.000173138823402582	HGD	MOUSE
J1745652	20.9462842728869	6.707111006191	1.14340010408677	5.86593527691513	4.46607996598024e-09	1.5213773825226e-08	SYBU	HUMAN
J1748867	22.0780385386435	-6.13268516102511	1.32652732015217	-4.62311259471202	3.7802439576492e-06	9.82251487992455e-06	MET15	BOVIN
J1749162	107.373906181541	7.31857273001653	0.545316899931783	13.4207700713696	4.56940216141348e-41	5.57251917951297e-40	DLK1	HUMAN
J1750331	83.7638318702475	8.34586825458628	0.578899870935293	14.4167733896751	4.05878396953613e-47	5.91130115128671e-46	SYUG	HUMAN
J1751687	13.0495556881595	-5.89303596873737	2.12716483819993	-2.77037108874188	0.00559924596083227	0.00961745389489449	ZZZ3	HUMAN
J1754424	23.2018481636654	6.91689456502884	1.16999744252623	5.9118886192555	3.382072140331e-09	1.16341035759983e-08	NRCAM	CHICK
J1765649	59.5213086825697	9.8039268756023	1.69799301815156	5.77383226597414	7.74885769689776e-09	2.5908715488542e-08	PP2D1	HUMAN
J1771506	1051.65702413113	-12.3019162923731	0.689286878168351	-17.8473095629836	3.03300224802866e-71	8.8743543311062e-70	SERP1	BOVIN
J1774589	20.6743333159087	-5.92195363535978	1.30767435328463	-4.52861495714506	5.93715772442737e-06	1.51066796174227e-05	NUP50	HUMAN
J1774671	38.7567796496884	-7.29018510243998	0.923213384132284	-7.89653316095708	2.86767988152319e-15	1.43277131827177e-14	HDC	HUMAN
J1774764	51.573466526791	-24.036429178089	1.73032370026164	-13.89129049926	7.15347380496765e-44	9.38142280993255e-43	IVD	CAEEL
J1782585	25.2562749544468	-6.74231660180351	1.11758447766922	-6.03293687101398	1.61006326246911e-09	5.66854679355244e-09	ZNT5	CHICK
J1784377	26.9669343307821	7.92223885695463	1.65095929591375	4.79856703709339	1.59804822253784e-06	4.32490063361494e-06	PK3C3	HUMAN
J1787864	968.86362749716	-7.7770411745077	0.842428452880562	-9.23169338347398	2.663866599021e-20	1.68988342308616e-19	ATP5H	HUMAN
J1788477	4.02363397496006	5.54256576645095	0.519845329953755	10.6619516365455	1.53345283780474e-26	1.21868865174628e-25	KC1G1	CHICK
J1791709	20.5858229875601	5.42501663011573	0.404170444492414	13.4225960953895	4.45817496882542e-41	5.43978490708981e-40	CNKR2	MOUSE
J1792948	90.8832368734428	5.71172386628491	0.329677764666933	17.3251716628671	3.03787608187947e-67	7.80634831277099e-66	B3GA2	CANLF
J1802475	42.4147288183791	-24.2428748551905	1.62639364745609	-14.9059084761612	3.01681214036621e-50	4.8355976874379e-49	FAN1	AILME
J1808284	7.08733525366751	6.13083079813088	0.835183631547565	7.3406979813178	2.12482803709253e-13	9.59223716566648e-13	TOM20	BOVIN
J1808591	20.6345909421969	-5.55871854014576	1.06258487326951	-5.23131721519987	1.68306404662448e-07	4.99766529634078e-07	MCS1B	XENLA
J1810623	15.35758513614	6.94010783983617	0.63517343594622	10.9263194067577	8.62772728786475e-28	7.15097411172005e-27	DOC2B	HUMAN
J1817351	21.5213662015608	-6.75001175216989	1.36094549453938	-4.95979580317762	7.05673173890841e-07	1.97548620148538e-06	DLDH	HUMAN
J1818301	29.7539958238068	5.79522187325694	1.66520807146895	3.48017882722892	0.000501079203597586	0.00100937678193546	E41L2	HUMAN
NODE_1030_length_7806_cov_41.009805_g672_i0	217.221703399535	5.15403356219584	0.304879807589038	16.9051325601176	4.12396395628486e-64	9.7004654752942e-63	TM158	HUMAN
NODE_10727_length_2432_cov_7.467543_g3020_i5	27.8929682602179	5.06149791668423	0.308569143325496	16.4031239874982	1.81651795276572e-60	3.82660755059049e-59	TBC30	MOUSE
NODE_10979_length_3007_cov_17.665989_g5601_i1	24.3603780295998	5.07013465649435	0.406641576687739	12.4683134906978	1.11153670842395e-35	1.15844792844568e-34	GPR39	BOVIN
NODE_11116_length_2389_cov_15.046240_g3316_i0	78.9917699545292	-5.07948199537126	1.43229046212823	-3.54640495742999	0.000390525582651	0.000797960520427095	UD11	RAT
NODE_11171_length_2962_cov_11.223598_g6865_i0	27.5329738119235	6.02460252396779	0.325197046774874	18.5260062590251	1.27398980223901e-76	4.25154459186437e-75	RAB36	HUMAN
NODE_11603_length_2881_cov_143.604742_g7136_i0	988.980769736238	8.25689817037606	0.456723701699038	18.078541007747	4.70363537529258e-73	1.43137464765078e-71	PCP4	HUMAN
NODE_11932_length_2822_cov_18.191182_g6699_i4	78.0306147654571	8.24752754578325	0.474334281891513	17.3875847912455	1.0246184082358e-67	2.67515777536295e-66	VTM2A	HUMAN
NODE_12023_length_2292_cov_228.176816_g2481_i1	434.564848250109	5.706411142927	0.162573747927953	35.1004465090876	6.6358536291515e-270	2.16072873956072e-266	THY1	CHICK
NODE_1225_length_7471_cov_24.496494_g778_i0	93.136206412513	5.52972204420976	0.189066888139466	29.2474377646218	4.8401254073723e-188	2.50729496386902e-185	NALCN	HUMAN
NODE_12268_length_2767_cov_72.989307_g6838_i2	49.1799322026468	-18.665748718566	1.65362911421797	-11.2877479950475	1.5085228461154e-29	1.31890146649437e-28	TRAF7	MOUSE
NODE_1250_length_7437_cov_13.296397_g791_i1	76.5231172099123	6.03985731883571	1.37775463743836	4.38384103722964	1.1660487369051e-05	2.87482410603331e-05	CNTRL	HUMAN
NODE_12533_length_2239_cov_12.359057_g3721_i2	40.0356691356392	-5.93185449473474	1.60012338805478	-3.70712317501084	0.000209626999513657	0.000443601169799906	P4K2B	CHICK
NODE_12658_length_2698_cov_19.016648_g7768_i0	21.4868412738727	-6.39152374924578	1.34998318894248	-4.73452099374113	2.19573044268007e-06	5.85006241730061e-06	HEAT3	HUMAN
NODE_12713_length_2689_cov_1172.107821_g7780_i1	748.409725121722	5.61017621467697	0.177261934078714	31.6490748215899	7.80883510796859e-220	9.36772519031201e-217	THY1	CHICK
NODE_127672_length_262_cov_3.267380_g81025_i0	36.1071001182467	5.32277570862806	0.252227632773288	21.103063332527	7.45466956189315e-99	4.43640426434022e-97	CADH4	CHICK
NODE_13800_length_2513_cov_113.200976_g8486_i0	15.9299752874461	5.48685371574801	0.991371945482964	5.53460660325121	3.11927667917181e-08	9.93678173981314e-08	T255A	MACFA
NODE_1396_length_4794_cov_42.170587_g321_i4	132.4498074402	-5.03409028530191	0.981579260258823	-5.12856219473761	2.91963443764186e-07	8.46226191978268e-07	PH4H	RAT
NODE_14156_length_2459_cov_264.071963_g8718_i0	6.75188874132901	6.66694172365143	0.448346393098006	14.8700688268815	5.15603061726741e-50	8.17255951734187e-49	TM59L	HUMAN
NODE_14608_length_2388_cov_20.034291_g9001_i0	63.6478317041059	13.4243813984108	1.30389974763231	10.2955625405922	7.378701572225e-25	5.49437258855683e-24	KCIP4	HUMAN
NODE_14902_length_2342_cov_9.032794_g9193_i0	9.63561735133464	5.11502795743382	0.369743222631854	13.8340005829579	1.58929981542861e-43	2.06645240690612e-42	DBX2	HUMAN
NODE_15058_length_2318_cov_4.861246_g8030_i1	8.07879614382259	5.76141883916668	0.393454525357352	14.6431632319743	1.48972912416875e-48	2.26974571705737e-47	JKIP3	MOUSE
NODE_15232_length_2290_cov_1353.046980_g1393_i2	356.997013523706	-5.98119358397452	0.558341735357978	-10.7124243186652	8.90001141790703e-27	7.14037170884741e-26	TPM1	CHICK
NODE_15970_length_1969_cov_3.922914_g4923_i0	20.3294634937651	-6.3221474082251	1.97715702076184	-3.19759500223663	0.00138578755843559	0.00261385453204169	ZC21A	BOVIN
NODE_16591_length_2113_cov_2.840136_g10251_i0	54.0165756310085	5.25831592790187	0.252829785538755	20.7978498921594	4.52650101893718e-96	2.53495178684607e-94	LRIQ1	MOUSE
NODE_16631_length_2107_cov_15.770955_g10272_i0	8.74458725774879	6.55391209358271	0.364283141713787	17.991258290871	2.28118716699914e-72	6.85951175427592e-71	NXPH1	PONAB
NODE_16645_length_1932_cov_6.370490_g5122_i0	19.8332753682412	-5.28455425123448	1.018594210143	-5.18808589192017	2.1246660884321e-07	6.24468267616157e-07	HERC4	RAT
NODE_1760_length_6764_cov_12.579222_g1085_i0	76.4602384113975	6.10517905244778	0.285617845396874	21.3753417401649	2.26657751962665e-101	1.45938139561724e-99	EPHA7	CHICK
NODE_17737_length_1974_cov_141.046378_g10934_i5	7.10697310285155	-5.07393649457693	0.703358375061	-7.21387087220919	5.43833295388556e-13	2.39806390052067e-12	FBXW4	HUMAN
NODE_17797_length_1857_cov_102.388328_g5500_i0	512.287845229944	11.6861941028196	1.88273581164477	6.20702810800122	5.39959438189109e-10	1.96853734399302e-09	AATC	CHICK
NODE_17818_length_1856_cov_19.670971_g5309_i2	35.5800746331857	6.19608133083258	1.4820660887142	4.18070515074541	2.90606488913055e-05	6.87258113902807e-05	PLTP	HUMAN
NODE_18389_length_1902_cov_9.690309_g11352_i0	14.7951688125679	6.02467898763694	0.411741993003589	14.6321703639892	1.751107409156e-48	2.65732298115131e-47	MOT14	HUMAN
NODE_18449_length_1895_cov_3.767391_g11390_i0	19.1980442863385	-5.96935538872458	0.770921415724737	-7.74314381072529	9.6988233582138e-15	4.70852568272135e-14	MMRN1	HUMAN
NODE_185_length_7391_cov_11.908147_g54_i0	7.44683415355858	7.64243175892487	0.722171976013296	10.5825648360304	3.58994092095258e-26	2.8109077090784e-25	NRCAM	CHICK
NODE_189_length_7344_cov_11.980603_g54_i1	100.524500499524	5.33440884134848	0.60574699624599	8.80633147899624	1.29308272215024e-18	7.60992369893375e-18	NRCAM	CHICK
NODE_19066_length_1829_cov_202.669109_g10376_i1	204.514441573675	-5.71510419289177	1.42941042745724	-3.99822478072887	6.38193304193469e-05	0.00014489829646859	HMCS2	BOVIN
NODE_19245_length_1811_cov_151.657745_g11894_i0	1014.83676858245	-5.79939930016075	0.704251412701112	-8.23484226736233	1.79794367321583e-16	9.6198427567156e-16	A1AT	CHLAE
NODE_19317_length_1763_cov_13.395142_g5999_i0	12.9671761474292	5.32987876924238	0.902851113190477	5.90338616342595	3.56115379328649e-09	1.22254720916464e-08	E41L3	MOUSE
NODE_19337_length_1804_cov_44.186964_g11954_i0	91.5989390218529	5.04940544478567	0.311768148200089	16.1960273168926	5.37918097918559e-59	1.08598469493868e-57	NACHO	HUMAN
NODE_19801_length_1758_cov_26.359953_g12248_i0	101.027596429601	5.04027749059718	0.300894668817206	16.7509697343929	5.57107027930254e-63	1.27619502388083e-61	SOX8	CHICK
NODE_1984_length_4335_cov_5.881690_g560_i0	20.6058833887226	5.14039900318578	0.30380297433133	16.9201733936272	3.19488539277756e-64	7.53840815295848e-63	B4GN4	HUMAN
NODE_19863_length_1752_cov_7.025928_g12283_i0	4.55979705322639	6.58035468114526	0.764227435800337	8.61046643039449	7.27639057050798e-18	4.14005916808758e-17	SCRG1	HUMAN
NODE_20138_length_1724_cov_39.753745_g11491_i1	54.704052638275	7.15110362266133	1.43237421578404	4.99248279106102	5.96080263240887e-07	1.68295025889379e-06	DTBP1	CHICK
NODE_20984_length_1676_cov_7.557152_g6556_i0	29.3519933268462	9.32750579372257	0.435225843959319	21.431415259877	6.80790739664887e-102	4.42087274335663e-100	VTM2A	HUMAN
NODE_21399_length_1615_cov_73.163462_g12411_i1	19.5771207117768	-21.7062228821371	1.45947797362879	-14.87259367688	4.96518652439524e-50	7.8810234297034e-49	ZFAN6	BOVIN
NODE_22043_length_1558_cov_14.117099_g12912_i2	21.2384366952747	6.20120946133092	1.47835940436473	4.19465621351776	2.73285758682089e-05	6.4790953792811e-05	KCTD7	CHICK
NODE_22462_length_1526_cov_129.062542_g13878_i0	173.795883246914	8.63076807131595	0.537705943561185	16.0510929340953	5.61662218852478e-58	1.10327903285277e-56	TKN1	RABIT
NODE_22581_length_1515_cov_3.256164_g13213_i2	5.2006480067404	6.81563679357664	0.419725424316738	16.2383224811117	2.70212762018123e-59	5.50398524100006e-58	PF21B	MOUSE
NODE_22811_length_1495_cov_6.120833_g14104_i0	9.9819086335681	5.22648443445192	0.369045384051678	14.1621726224329	1.57062155642114e-45	2.16964709912164e-44	SOX12	MOUSE
NODE_23151_length_1466_cov_127.559178_g14319_i0	120.390236711182	7.03951745271092	0.625174363512231	11.2600865671505	2.06555711854747e-29	1.80039171713394e-28	PENK	CAVPO
